学年,学期,教学班,课程号,课程名称,开课学院,计划学院,学分,课程性质,课程类别名称,开课类型,年级,专业,成绩录入老师,职称,上课人数,理论,上机,实验,实践,周日,周一,周二,周三,周四,周五,周六,选课备注,其他教师,教材名称,出版社
2025-2026,2,(2025-2026-2)-1000820011009-17,1000820011009,乒乓球2,体育部,,1.0,公共基础必修,无,体育,wnj,,待定,,36\34,4,,,28,,,"1-16周6-7节计算机大楼负一楼乒乓球场(50,体育馆)",,,,,,,,
2025-2026,2,(2025-2026-2)-1100790011002-01,1100790011002,工程训练B,训创中心,电气与自动化学院,1.0,公共基础选修,专业课程,专业教育课程,2025,工科试验班（电气）,李敏,高级实验师,31\31,,,,24,,,,,"1-6周6-9节(,)",,,请各位同学加入课程qq群：923550245,"杨尚尚,严培辉",,
2025-2026,2,(2025-2026-2)-100013001004-45-37,100013001004,大学交际英语4,大学英语部,,3.0,公共基础必修,无,英语,wnj,,庞晓兰,讲师,26\24,48,,,,,,,,"1-16周3-5节2区A315(40,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-1000810013011-6-H04,1000810013011,国际传播学术英语,大学英语部,弘毅学堂,3.0,公共基础必修,无,专业教育课程,2025,文科试验班类,祝捷,副教授,26\0,48,,,,,,"1-16周3-5节1区6-204(65,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1000810013011-6-H04,1000810013011,国际传播学术英语,大学英语部,弘毅学堂,3.0,公共基础必修,无,专业教育课程,2025,政治学、经济学与哲学,祝捷,副教授,26\0,48,,,,,,"1-16周3-5节1区6-204(65,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1100740011004-23,1100740011004,形势与政策4,形势与政策教育中心,水利水电学院,0.5,公共基础必修,,专业教育课程,2024,水文与水资源工程,于敏,助理工程师,195\53,8,,,,,,,,"14-15周11-13节(,)",,,,,,
2025-2026,2,(2025-2026-2)-1100740011004-23,1100740011004,形势与政策4,形势与政策教育中心,水利水电学院,0.5,公共基础必修,,专业教育课程,2024,农业水利工程,于敏,助理工程师,195\53,8,,,,,,,,"14-15周11-13节(,)",,,,,,
2025-2026,2,(2025-2026-2)-1100740011004-23,1100740011004,形势与政策4,形势与政策教育中心,水利水电学院,0.5,公共基础必修,,专业教育课程,2024,港口航道与海岸工程,于敏,助理工程师,195\53,8,,,,,,,,"14-15周11-13节(,)",,,,,,
2025-2026,2,(2025-2026-2)-1100740011004-23,1100740011004,形势与政策4,形势与政策教育中心,水利水电学院,0.5,公共基础必修,,专业教育课程,2024,水利水电工程（卓越工程师）,于敏,助理工程师,195\53,8,,,,,,,,"14-15周11-13节(,)",,,,,,
2025-2026,2,(2025-2026-2)-1100740011004-23,1100740011004,形势与政策4,形势与政策教育中心,水利水电学院,0.5,公共基础必修,,专业教育课程,2024,智慧水利,于敏,助理工程师,195\53,8,,,,,,,,"14-15周11-13节(,)",,,,,,
2025-2026,2,(2025-2026-2)-1100740011004-23,1100740011004,形势与政策4,形势与政策教育中心,水利水电学院,0.5,公共基础必修,,专业教育课程,2024,水文与水资源工程（碳中和试验班）,于敏,助理工程师,195\53,8,,,,,,,,"14-15周11-13节(,)",,,,,,
2025-2026,2,(2025-2026-2)-3150130011317-08,3150130011317,毕业论文与设计,外国语言文学学院,外国语言文学学院,5.0,专业教育必修,,专业教育课程,2022,西班牙语,秦剑,,13\0,80,,,,,,,,,,,,,,
2025-2026,2,(2025-2026-2)-300054001023-01,300054001023,光学测试技术,遥感信息工程学院,遥感信息工程学院,2.5,专业教育选修,无,专业教育课程,2023,遥感科学与技术,张学敏,教授,60\0,24,,24,,,"1-8周11-13节3区1-202(80,多媒体)",,"1-8周11-13节3区1-202(80,多媒体)",,,,9学分任选模块,,,
2025-2026,2,(2025-2026-2)-300054001023-01,300054001023,光学测试技术,遥感信息工程学院,遥感信息工程学院,2.5,专业教育选修,无,专业教育课程,2023,空间信息与数字技术,张学敏,教授,60\0,24,,24,,,"1-8周11-13节3区1-202(80,多媒体)",,"1-8周11-13节3区1-202(80,多媒体)",,,,9学分任选模块,,,
2025-2026,2,(2025-2026-2)-3140440011060-02,3140440011060,毕业设计,水利水电学院,水利水电学院,10.0,专业教育必修,大类平台,专业教育课程,2022,水文与水资源工程,佘敦先,教授,37\36,,,,240,,,,,,,,,,,
2025-2026,2,(2025-2026-2)-3000450011052-01,3000450011052,二维设计基础,城市设计学院,城市设计学院,3.0,专业教育必修,大类平台,专业教育课程,2025,设计学类,王欣,讲师,30\0,48,,,,,,"1-7周6-8节2区A221(40,多媒体),6-7周6-8节2区A221(40,多媒体)",,,"1-4周3-5节2区A221(40,多媒体),5-7周1-5节2区A221(40,多媒体)",,,高薇,,
2025-2026,2,(2025-2026-2)-1000810013011-6-H05,1000810013011,国际传播学术英语,大学英语部,弘毅学堂,3.0,公共基础必修,无,专业教育课程,2025,理科试验班类,文芳,副教授,20\0,48,,,,,,,"1-16周3-5节1区6-202(65,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-1100820011061-20,1100820011061,素质体育2,体育部,,1.0,公共基础必修,无,体育,wnj,,黄雪晴,助教,36\23,4,,,28,,,,"1-16周6-7节松园操场田径场(50,体育馆)",,,,素质体育2（太极拳）,,,
2025-2026,2,(2025-2026-2)-3000220011056-01,3000220011056,国际商法,法学院,法学院,2,专业教育选修,无,专业教育课程,2023,国际法,荆真,,24\0,32,,,,,,"4-11周2-5节虚拟教室(500,多媒体)",,,,,仅国际法试验班限选，上课地点法学院国际法323教研室。,,,
2025-2026,2,(2025-2026-2)-1000820011013-18,1000820011013,篮球2,体育部,,1.0,公共基础必修,无,体育,wnj,,殷涛,讲师,36\32,4,,,28,,,,"1-16周3-4节竹园篮球场(50,体育馆)",,,,,,,
2025-2026,2,(2025-2026-2)-3150220011027-01,3150220011027,环境法,法学院,法学院,2.0,专业教育必修,,专业教育课程,2024,法学,刘长兴,,90\0,32,,,,,,,"1-11周6-8节1区法-116(123,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-3000550011135-08,3000550011135,Python程序设计,测绘学院,测绘学院,2.0,专业教育选修,专业课程,专业教育课程,2025,时空信息工程,霍学深,副研究员,30\30,24,,12,,,,"2-9周1-2节3区1-212(32,多媒体),2-9周11-13节3区1-212(32,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-3350520011598-01,3350520011598,创客实践,计算机学院,计算机学院,2.0,专业教育选修,创新创业课程,专业教育课程,2023,计算机弘毅班,罗飞,副教授,35\0,,,,48,,,,,,,,创新学分抵,,,
2025-2026,2,(2025-2026-2)-3150160011037-01,3150160011037,影视制作,艺术学院,艺术学院,3.0,专业教育必修,,专业教育课程,2024,戏剧影视文学,穆杨,,30\23,,,,48,,,,,"1-12周2-5节(,)",,,人文馆208,,,
2025-2026,2,(2025-2026-2)-1100820011061-37,1100820011061,素质体育2,体育部,,1.0,公共基础必修,无,体育,wnj,,郭禹彤,助教,36\30,4,,,28,,,,"1-16周3-4节松园体育馆形体房(50,体育馆)",,,,素质体育2（体育舞蹈）,,,
2025-2026,2,(2025-2026-2)-3001300011091-01,3001300011091,信号与系统,地球与空间科学技术学院,地球与空间科学技术学院,3.5,专业教育必修,大类平台,专业教育课程,2024,电波传播与天线（地空）,黄春明,教授,25\20,56,,,,,,"1-14周3-4节3区1-616(52,多媒体)",,"1-14周3-4节3区1-616(52,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-1100820011061-0185,1100820011061,素质体育2,体育部,,1.0,公共基础必修,无,体育,wnj,,李海冰,教授,36\37,4,,,28,,,"1-16周3-4节九一二体育场(50,体育馆)",,,,,素质体育2（定向越野）,,,
2025-2026,2,(2025-2026-2)-3500520011004-软工,3500520011004,操作系统B,计算机学院,计算机学院,3.5,专业教育必修,大类平台,专业教育课程,2024,软件工程,赵小刚,副教授,120\0,48,,12,,,,"1-15周3-4节3区1-401(249,多媒体)",,,"1-15周3-4节3区1-401(249,多媒体)",,,,,
2025-2026,2,(2025-2026-2)-100073001002-24,100073001002,军事理论与技能,军事教研室,经济与管理学院,4.0,公共基础必修,无,专业教育课程,2025,市场营销,何华,副教授,141\119,32,,,168,,,,"1-16周1-2节1区3-204(150,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-24,100073001002,军事理论与技能,军事教研室,经济与管理学院,4.0,公共基础必修,无,专业教育课程,2025,会计学,何华,副教授,141\119,32,,,168,,,,"1-16周1-2节1区3-204(150,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-24,100073001002,军事理论与技能,军事教研室,经济与管理学院,4.0,公共基础必修,无,专业教育课程,2025,财务管理,何华,副教授,141\119,32,,,168,,,,"1-16周1-2节1区3-204(150,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-24,100073001002,军事理论与技能,军事教研室,经济与管理学院,4.0,公共基础必修,无,专业教育课程,2025,管理科学,何华,副教授,141\119,32,,,168,,,,"1-16周1-2节1区3-204(150,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-24,100073001002,军事理论与技能,军事教研室,经济与管理学院,4.0,公共基础必修,无,专业教育课程,2025,数智经济与管理创新试验班,何华,副教授,141\119,32,,,168,,,,"1-16周1-2节1区3-204(150,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-100013001010-K49,100013001010,文化与思辨,大学英语部,,3.0,公共基础必修,无,英语,wnj,,黄承英,讲师,31\30,48,,,,,"1-16周3-5节1区5-301(86,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-3150710011006-01,3150710011006,科研训练1,弘毅学堂,弘毅学堂,1.0,专业教育必修,创新创业课程,专业教育课程,2025,全球治理试验班（国际经济）,唐诗音,,5\0,,,,24,,,,,,,,,李志,,
2025-2026,2,(2025-2026-2)-1100820011061-0196,1100820011061,素质体育2,体育部,,1.0,公共基础必修,无,体育,wnj,,刘欣刚,副教授,36\30,4,,,28,,,,,,"1-16周6-7节梅园篮球场(50,体育馆)",,素质体育2（匹克球）,,,
2025-2026,2,(2025-2026-2)-3200840011002-02,3200840011002,机器学习,计算中心,动力与机械学院,2.0,专业教育选修,核心课程,专业教育课程,2024,机械设计制造及其自动化,张锡宁,副教授,55\0,26,,18,,,,,,"1-13周1-2节2区A308(63,多媒体),3-11周3-4节2区5-404(64,计算机教室)",,,,,,
2025-2026,2,(2025-2026-2)-3000540011116-01,3000540011116,毕业设计,遥感信息工程学院,遥感信息工程学院,6.0,专业教育必修,专业课程,专业教育课程,2022,空间信息与数字技术（试验班）,卢冰,,27\27,,,,144,,,,,,,,22级空信试验班选课,,,
2025-2026,2,(2025-2026-2)-1000850010015-03,1000850010015,线性代数A,公共数学教学,遥感信息工程学院,3.0,公共基础必修,无,专业教育课程,2025,遥感科学与技术,李订芳,教授,110\110,48,,,,,,,"1-16周3-5节3区1-402(193,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-4000130012002-01,4000130012002,翻译工作坊（创）,外国语言文学学院,外国语言文学学院,2.0,专业教育选修,创新创业课程,专业教育课程,2023,翻译,罗菁,副教授,20\0,,,,48,,,,,"1-16周3-5节(,)",,,理论24+实践24,,,
2025-2026,2,(2025-2026-2)-3150130011323-04,3150130011323,实习,外国语言文学学院,外国语言文学学院,2,专业教育必修,,专业教育课程,2022,德语,张申威,,16\0,32,,,,,,,,,,,,,,
2025-2026,2,(2025-2026-2)-1000810011015-全校重修班,1000810011015,高级英语b,大学英语部,,2.0,公共基础必修,无,重修课程,wnj,,苏子洲,讲师,45\0,32,,,,,,,,,,,,,,
2025-2026,2,(2025-2026-2)-3150160011030-01,3150160011030,西方电影史（2）,艺术学院,艺术学院,3.0,专业教育必修,,专业教育课程,2025,戏剧影视文学,简敏,讲师,32\32,48,,,,,,,,,"1-16周6-8节2区A104(40,多媒体)",,工学部A教,,,
2025-2026,2,(2025-2026-2)-100013001004-82-04,100013001004,大学交际英语4,大学英语部,,3.0,公共基础必修,无,英语,wnj,,张涛,助教,26\24,48,,,,,"1-16周3-5节1区5-202(40,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-1100820011061-0190,1100820011061,素质体育2,体育部,,1.0,公共基础必修,无,体育,wnj,,李海冰,教授,36\39,4,,,28,,,,,,"1-16周6-7节九一二体育场(50,体育馆)",,素质体育2（定向越野）,,,
2025-2026,2,(2025-2026-2)-100013001004-45-27,100013001004,大学交际英语4,大学英语部,,3.0,公共基础必修,无,英语,wnj,,余诗龙,副教授,26\24,48,,,,,,,,"1-16周3-5节2区A302(40,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-3150320011022-01,3150320011022,信号与系统,物理科学与技术学院,物理科学与技术学院,3.0,专业教育必修,核心课程,专业教育课程,2024,物理学类,江先阳,副教授,150\0,48,,,,,"1-16周1-2节1区5-313(166,多媒体)",,"1-16周8-9节1区5-313(166,多媒体)",,,,微电子专业必修课,,,
2025-2026,2,(2025-2026-2)-100073001002-32,100073001002,军事理论与技能,军事教研室,弘毅学堂,4.0,公共基础必修,无,专业教育课程,2025,文科试验班类,李照,讲师,35\0,32,,,168,,,"1-16周1-2节1区3-201(64,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1100820011061-0105,1100820011061,素质体育2,体育部,,1.0,公共基础必修,无,体育,wnj,,余涛,副教授,36\32,4,,,28,,,"1-16周6-7节九一二体育场(50,体育馆)",,,,,素质体育2（武术）,,,
2025-2026,2,(2025-2026-2)-300160001090-02,300160001090,临床营养学（指）,护理学院,护理学院,1.5,专业教育选修,专业课程,专业教育课程,2023,护理学（四年制卓越班）,王素青,教授,22\0,16,,12,,,,,"2-12周6-8节2区A316(40,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-1100820011061-0188,1100820011061,素质体育2,体育部,,1.0,公共基础必修,无,体育,wnj,,李海冰,教授,36\36,4,,,28,,,,,"1-16周3-4节九一二体育场(50,体育馆)",,,素质体育2（定向越野）,,,
2025-2026,2,(2025-2026-2)-3350870011010-03,3350870011010,基础化学实验D,公共化学教学,物理科学与技术学院,1.0,专业教育选修,核心课程,专业教育课程,2025,物理学类,谢敏,副教授,24\0,,,24,,,"3-8周1-5节(,)",,,,,,,,,
2025-2026,2,(2025-2026-2)-5000940011012-01,5000940011012,人工智能与机器学习（微）,训创中心,训创中心,2.0,专业教育必修,无,辅修课程,2025,数智创新（微专业）,郭迟,教授,30\0,32,,,,,,,,,,,,"刘汇慧,黄文丽,戴小蕾,李杰",,
2025-2026,2,(2025-2026-2)-1000820011010-14,1000820011010,排球2,体育部,,1.0,公共基础必修,无,体育,wnj,,汪俊峰,讲师,36\34,4,,,28,,,,,,"1-16周6-7节松园排球场(50,体育馆)",,,,,
2025-2026,2,(2025-2026-2)-3150320011016-01,3150320011016,近代物理实验,物理科学与技术学院,物理科学与技术学院,4.0,专业教育必修,核心课程,专业教育课程,2023,物理学类,刘海林,副教授,66\0,,,,96,,"3-16周6-9节(,)",,,,,,物理学专业必修课（物院老楼三楼近代物理实验室）,,,
2025-2026,2,(2025-2026-2)-1300850011033-02,1300850011033,离散数学A,公共数学教学,电气与自动化学院,2.0,专业教育选修,,专业教育课程,2024,电气工程及其自动化,李素贞,讲师,130\0,32,,,,,,"5-15周6-8节2区5-303(210,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1100740011002-40,1100740011002,形势与政策2,形势与政策教育中心,药学院,0.5,公共基础必修,,专业教育课程,2025,药学类,郭衍良,,67\67,8,,,,,,,,"12-13周6-8节2区A306(84,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-3150130015150-01,3150130015150,基础俄语（4）,外国语言文学学院,外国语言文学学院,6.0,专业教育必修,核心课程,专业教育课程,2024,俄语,张栋,讲师,8\0,32,,,96,,"1-16周3-5节1区新外-13(28,多媒体)","1-16周6-7节1区新外-13(28,多媒体)",,,"1-16周6-8节1区新外-13(28,多媒体)",,,田园,,
2025-2026,2,(2025-2026-2)-1000890011016-15,1000890011016,马克思主义基本原理,公共政治教学,法学院,2.5,公共基础必修,无,专业教育课程,2025,法学,谭璇,,118\0,40,,,,,,,"1-14周3-5节1区枫-305(129,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-1000820011003-16,1000820011003,网球2,体育部,,1.0,公共基础必修,无,体育,wnj,,李靖,副教授,36\31,4,,,28,,,,"1-16周3-4节竹园网球场(50,体育馆)",,,,,,,
2025-2026,2,(2025-2026-2)-1000820011081-02,1000820011081,排舞2,体育部,,1.0,公共基础必修,无,体育,wnj,,黄静,副教授,36\33,4,,,28,,,,"1-16周6-7节卓尔体育馆144(50,体育馆)",,,,,,,
2025-2026,2,(2025-2026-2)-100013001004-82-76,100013001004,大学交际英语4,大学英语部,,3.0,公共基础必修,无,英语,wnj,,邓芳玲,讲师,31\31,48,,,,,,,,,"1-16周3-5节1区5-212(48,多媒体)",,,,,
2025-2026,2,(2025-2026-2)-1000890011016-67,1000890011016,马克思主义基本原理,公共政治教学,弘毅学堂,2.5,公共基础必修,无,专业教育课程,2025,理科试验班类,李侦,讲师,103\0,40,,,,,,,"1-14周11-13节1区5-303(114,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-1000890011016-67,1000890011016,马克思主义基本原理,公共政治教学,弘毅学堂,2.5,公共基础必修,无,专业教育课程,2025,国学(弘毅学堂),李侦,讲师,103\0,40,,,,,,,"1-14周11-13节1区5-303(114,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-3350220011069-02,3350220011069,司法制度,法学院,法学院,2.0,专业教育选修,,专业教育课程,2023,法学,王颖,副教授,50\0,32,,,,,,,,,"1-11周3-5节1区法-123(187,多媒体)",,,,,
2025-2026,2,(2025-2026-2)-3000540011104-02,3000540011104,时空数据分析与挖掘课程设计,遥感信息工程学院,遥感信息工程学院,1.0,专业教育选修,专业课程,专业教育课程,2023,空间信息与数字技术,杨宗亮,讲师,1\0,,,,24,,,,,,,,仅22级选课，上课时间地点另行通知,,,
2025-2026,2,(2025-2026-2)-3000110011163-01,3000110011163,模态逻辑,哲学学院,哲学学院,3.0,专业教育选修,专业课程,专业教育课程,2022,现代哲学国际班,谢凯博,,24\0,48,,,,,,,"1-16周3-5节1区理-203(36,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-3000110011163-01,3000110011163,模态逻辑,哲学学院,哲学学院,3.0,专业教育选修,专业课程,专业教育课程,2023,现代哲学国际班,谢凯博,,24\0,48,,,,,,,"1-16周3-5节1区理-203(36,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-3000110011163-01,3000110011163,模态逻辑,哲学学院,哲学学院,3.0,专业教育选修,专业课程,专业教育课程,2024,现代哲学国际班,谢凯博,,24\0,48,,,,,,,"1-16周3-5节1区理-203(36,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-1000820011017-03,1000820011017,瑜伽2,体育部,,1.0,公共基础必修,无,体育,wnj,,李群,副教授,30\28,4,,,28,,,,,"1-16周3-4节卓尔体育馆154(50,体育馆)",,,本课程仅面向女生,,,
2025-2026,2,(2025-2026-2)-1000890011016-12,1000890011016,马克思主义基本原理,公共政治教学,经济与管理学院,2.5,公共基础必修,无,专业教育课程,2025,市场营销,谭兴林,,115\101,40,,,,,,"1-14周6-8节1区枫-203(126,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1000890011016-12,1000890011016,马克思主义基本原理,公共政治教学,经济与管理学院,2.5,公共基础必修,无,专业教育课程,2025,财务管理,谭兴林,,115\101,40,,,,,,"1-14周6-8节1区枫-203(126,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1000890011016-12,1000890011016,马克思主义基本原理,公共政治教学,经济与管理学院,2.5,公共基础必修,无,专业教育课程,2025,物流管理,谭兴林,,115\101,40,,,,,,"1-14周6-8节1区枫-203(126,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1000890011016-12,1000890011016,马克思主义基本原理,公共政治教学,经济与管理学院,2.5,公共基础必修,无,专业教育课程,2025,保险学（精算试验班）,谭兴林,,115\101,40,,,,,,"1-14周6-8节1区枫-203(126,多媒体)",,,,,,,,
2025-2026,2,(2025-2026-2)-1000890011017-45,1000890011017,中国近现代史纲要,公共政治教学,电子信息学院,2.5,公共基础必修,无,专业教育课程,2025,电子信息类,朱静芸,讲师,110\110,40,,,,,,,"1-14周6-8节3区1-302(195,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-3350450011122-01,3350450011122,经典文献阅读,城市设计学院,城市设计学院,1.0,专业教育选修,专业课程,专业教育课程,2024,建筑学数智建筑试验班,张点,讲师,30\0,16,,,,,,,,"9-16周1-2节2区A318(40,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-3350450011122-01,3350450011122,经典文献阅读,城市设计学院,城市设计学院,1.0,专业教育选修,专业课程,专业教育课程,2024,建筑学人工智能试验班,张点,讲师,30\0,16,,,,,,,,"9-16周1-2节2区A318(40,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-3200410011014-02,3200410011014,数据科学基础,计算机学院,动力与机械学院,2.0,专业教育必修,核心课程,专业教育课程,2023,能源与动力工程,王玲玲,讲师,50\0,32,,,,,,,,,"1-11周3-5节2区A311(63,多媒体)",,,,,
2025-2026,2,(2025-2026-2)-1000890011009-11,1000890011009,习近平新时代中国特色社会主义思想概论,公共政治教学,经济与管理学院,3.0,公共基础必修,无,专业教育课程,2024,金融工程,吴泽民,讲师,121\93,48,,,,,"1-16周3-5节1区枫-204(126,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-1000890011009-11,1000890011009,习近平新时代中国特色社会主义思想概论,公共政治教学,经济与管理学院,3.0,公共基础必修,无,专业教育课程,2024,物流管理,吴泽民,讲师,121\93,48,,,,,"1-16周3-5节1区枫-204(126,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-1000890011009-11,1000890011009,习近平新时代中国特色社会主义思想概论,公共政治教学,经济与管理学院,3.0,公共基础必修,无,专业教育课程,2024,保险学（精算试验班）,吴泽民,讲师,121\93,48,,,,,"1-16周3-5节1区枫-204(126,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-100013001004-45-45,100013001004,大学交际英语4,大学英语部,,3.0,公共基础必修,无,英语,wnj,,邓长慧,副教授,32\30,48,,,,,,,,,"1-16周3-5节2区A303(40,多媒体)",,,,,
2025-2026,2,(2025-2026-2)-1100850011006-10,1100850011006,高等数学B2,公共数学教学,资源与环境科学学院,5.0,公共基础必修,,专业教育课程,2025,智慧城市与空间规划,李驭繁,,125\105,80,,,,,"1-16周1-2节3区2-201(216,多媒体)",,"1-16周3-5节3区2-201(216,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-300033001002-03,300033001002,仪器分析实验B,公共化学教学,口腔医学院,2.0,专业教育选修,专业课程,专业教育课程,2023,口腔医学(八),陈贝贝,副教授,9\9,,,48,,,,,"3-14周6-10节(,)",,,,,,,
2025-2026,2,(2025-2026-2)-2000720011001-24,2000720011001,中国精神导引,通识教育中心,,2.0,通识教育必修,核心通识,通识必修课程,wnj,,待定,,150\0,32,,,,,,,,"1-12周11-13节2区6-201(224,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-3200210011006-01,3200210011006,国际金融理论与政策,经济与管理学院,经济与管理学院,3.0,专业教育必修,核心课程,专业教育课程,2023,国际经济与贸易,郭凛,副教授,50\42,48,,,,,,"1-16周6-8节2区A101(58,多媒体)",,,,,无,,,
2025-2026,2,(2025-2026-2)-2333540011119-01,2333540011119,3D技术与应用,训创中心,,2.0,通识教育选修,创新创业课程,通识课程,wnj,,张帆,副教授,30\0,32,,,,,"1-11周11-13节3区1-214(32,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-300011001071-01,300011001071,心理学学术训练,前沿交叉学科研究院,弘毅学堂,3.0,专业教育必修,创新创业课程,专业教育课程,2024,心理学试验班,徐嘉,副教授,28\8,32,,24,,,,,"1-16周3-5节1区6-305(40,多媒体)",,,,,,,
2025-2026,2,(2025-2026-2)-1000820011013-12,1000820011013,篮球2,体育部,,1.0,公共基础必修,无,体育,wnj,,潘健,副教授,36\33,4,,,28,,,,,,"1-16周6-7节松园篮球场(50,体育馆)",,,,,
2025-2026,2,(2025-2026-2)-1100790011002-05,1100790011002,工程训练B,训创中心,电气与自动化学院,1.0,公共基础选修,专业课程,专业教育课程,2025,工科试验班（电气）,胡明宇,实验师,31\31,,,,24,,,,,"1-6周6-9节(,)",,,请各位同学加入课程qq群：923550245,"龚晚林,宋凤莲",,
2025-2026,2,(2025-2026-2)-1300210011001-10,1300210011001,中国经济改革与发展,经济与管理学院,,2.0,通识教育选修,一般通识,通识课程,wnj,,测试8,,1000000\0,32,,,,,,,,,,,,,,
2025-2026,2,(2025-2026-2)-2322160011022-03,2322160011022,音乐欣赏,艺术学院,,2.0,通识教育选修,核心课程,通识课程,wnj,,李格,副教授,120\0,32,,,,,,,"1-16周11-12节1区4-301(223,多媒体)",,,,文理学部4-301,,,
2025-2026,2,(2025-2026-2)-0000870011004-05,0000870011004,有机化学B,公共化学教学,医学院,3.0,公共基础必修,无,专业教育课程,2025,临床医学(5+3),杜宇昊,副教授,85\0,48,,,,,,,,"1-16周3-5节2区A409(120,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-0000870011002-01,0000870011002,大学化学A,公共化学教学,生命科学学院,4.0,公共基础必修,无,专业教育课程,2025,生物科学类,林毅,副教授,50\0,64,,,,,,,"3-16周1-2节1区3-201(64,多媒体)","3-11周,14-16周11-13节1区3-201(64,多媒体)",,,,,,
2025-2026,2,(2025-2026-2)-100073001002-12,100073001002,军事理论与技能,军事教研室,生命科学学院,4.0,公共基础必修,无,专业教育课程,2025,生物科学类,何华,副教授,163\150,32,,,168,,"1-16周1-2节1区4-102(186,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-12,100073001002,军事理论与技能,军事教研室,生命科学学院,4.0,公共基础必修,无,专业教育课程,2025,生物科学（强基计划）,何华,副教授,163\150,32,,,168,,"1-16周1-2节1区4-102(186,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-12,100073001002,军事理论与技能,军事教研室,弘毅学堂,4.0,公共基础必修,无,专业教育课程,2025,生物科学(弘毅学堂),何华,副教授,163\150,32,,,168,,"1-16周1-2节1区4-102(186,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-12,100073001002,军事理论与技能,军事教研室,生命科学学院,4.0,公共基础必修,无,专业教育课程,2025,生物科学(国际试验班),何华,副教授,163\150,32,,,168,,"1-16周1-2节1区4-102(186,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-100073001002-12,100073001002,军事理论与技能,军事教研室,生命科学学院,4.0,公共基础必修,无,专业教育课程,2025,生物科学(本硕博试验班),何华,副教授,163\150,32,,,168,,"1-16周1-2节1区4-102(186,多媒体)",,,,,,,,,
2025-2026,2,(2025-2026-2)-3150340011023-03,3150340011023,植物生物学实验,生命科学学院,生命科学学院,1.5,专业教育选修,专业课程,专业教育课程,2025,生物科学类,汪小凡,教授,36\35,,,36,,,,,,,"2-16周6-8节(,)",,生科院二楼实验教学中心 2123室/2124室,,,
2025-2026,2,(2025-2026-2)-3500520011015-01,3500520011015,数据库系统,计算机学院,遥感信息工程学院,2.5,专业教育必修,专业课程,专业教育课程,2024,空间信息与数字技术（试验班）,王黎维,副教授,63\53,32,,12,,,,,"1-11周6-8节3区1-218(87,多媒体),12-14周6-9节(,)",,,,12-14周周三 6-9节计算机楼A105,,,
